Number,Name,Team,Rounds,Kills,Deaths,Assists,ACS,KD,FBSR%,APR,ADR,KPR,DPR,First Kills,First Deaths,HS%,FKPR,FDPR,Most Kills,Impact,Spike Defused,Spike Planted,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,FinalWin,TotalClutch,Clutch%
1,AAAAY,FunPlus Phoenix,85,76,57,16,231.25,1.33,0.14,0.19,231.25,0.89,0.67,1,6,39.25,0.01,0.07,23,1.64,2,11,17,3,2,0,2,1,0,0,0,None,3,3.53
2,Alfajer,Fnatic,270,233,168,36,232.36,1.39,0.6,0.13,232.36,0.86,0.62,34,23,28.57,0.13,0.09,26,1.61,3,5,41,18,1,0,3,0,1,0,0,None,4,1.48
3,ANGE1,Natus Vincere,204,120,161,89,176.75,0.75,0.42,0.44,176.75,0.59,0.79,21,29,25.5,0.1,0.14,24,1.03,2,12,21,4,3,0,1,1,0,0,0,None,2,0.98
4,ardiis,NRG,102,79,76,16,234.4,1.04,0.58,0.16,234.4,0.77,0.75,19,14,21.8,0.19,0.14,21,1.22,2,1,7,7,2,0,0,0,0,0,0,None,0,0.00
5,aspas,LOUD,515,446,355,82,235.42,1.26,0.63,0.16,235.42,0.87,0.69,96,56,25.17,0.19,0.11,30,1.51,4,12,81,33,7,0,4,3,0,0,0,None,7,1.36
6,AtaKaptan,FUT Esports,216,136,154,116,196.7,0.88,0.43,0.54,196.7,0.63,0.71,19,25,30.5,0.09,0.12,20,1.37,5,14,26,10,0,0,1,2,0,0,0,None,3,1.39
7,ban,T1,129,80,98,43,176.33,0.82,0.26,0.33,176.33,0.62,0.76,6,17,33.5,0.05,0.13,16,1.05,2,22,17,6,0,0,0,2,0,0,0,None,2,1.55
8,BerLIN,FunPlus Phoenix,85,40,67,29,155.75,0.6,0.48,0.34,155.75,0.47,0.79,10,11,40.25,0.12,0.13,13,0.71,1,5,5,1,0,0,0,0,0,0,0,None,0,0.00
9,biank,Bilibili Gaming,237,155,174,85,188.45,0.89,0.43,0.36,188.45,0.65,0.73,16,21,20.73,0.07,0.09,25,1.2,3,35,25,8,2,0,3,0,1,0,0,None,4,1.69
10,Boaster,Fnatic,270,163,182,114,177.57,0.9,0.64,0.42,177.57,0.6,0.67,28,16,24.64,0.1,0.06,19,1.28,5,15,22,8,3,0,2,5,2,0,0,None,9,3.33
11,Boostio,Evil Geniuses,459,291,335,119,187.71,0.87,0.5,0.26,187.71,0.63,0.73,51,52,23.1,0.11,0.11,26,1.07,15,21,46,17,1,2,2,2,0,0,0,Champions,4,0.87
12,BuZz,DRX,283,221,216,54,228.08,1.02,0.52,0.19,228.08,0.78,0.76,59,54,22.77,0.21,0.19,27,1.23,7,2,47,11,3,0,0,1,0,0,0,None,1,0.35
13,C0M,Evil Geniuses,459,330,294,144,195.71,1.12,0.52,0.31,195.71,0.72,0.64,32,30,22,0.07,0.07,28,1.47,9,24,68,20,2,0,9,9,1,0,0,Champions,19,4.14
14,Carpe,T1,129,70,103,32,149.83,0.68,0.24,0.25,149.83,0.54,0.8,5,16,24.17,0.04,0.12,17,0.74,1,19,10,4,1,1,0,2,0,0,0,None,2,1.55
15,cauanzin,LOUD,515,391,348,207,217.33,1.12,0.59,0.4,217.33,0.76,0.68,60,41,25.63,0.12,0.08,25,1.57,13,63,71,23,6,1,2,2,0,0,0,None,4,0.78
16,CHICHOO,EDward Gaming,358,245,236,110,197.88,1.04,0.31,0.31,197.88,0.68,0.66,13,29,23.63,0.04,0.08,22,1.36,3,20,49,8,3,0,3,6,0,0,0,None,9,2.51
17,Chronicle,Fnatic,270,156,176,116,169.14,0.89,0.59,0.43,169.14,0.58,0.65,20,14,23.14,0.07,0.05,17,1.28,4,59,27,8,0,0,0,0,0,0,0,None,0,0.00
18,Cloud,Giants,161,123,111,62,216.29,1.11,0.56,0.39,216.29,0.76,0.69,18,14,36.29,0.11,0.09,21,1.53,3,15,23,7,2,0,3,1,0,0,0,None,4,2.48
19,cNed,Natus Vincere,204,163,135,34,220.75,1.21,0.44,0.17,220.75,0.8,0.66,24,31,28,0.12,0.15,27,1.44,4,5,30,13,0,0,1,2,0,0,0,None,3,1.47
20,crashies,NRG,102,70,72,34,191.8,0.97,0.38,0.33,191.8,0.69,0.71,3,5,27.8,0.03,0.05,18,1.29,2,7,13,6,0,0,2,0,1,0,0,None,3,2.94
21,crow,ZETA DIVISION,51,16,41,13,108.33,0.39,0.33,0.25,108.33,0.31,0.8,1,2,16.67,0.02,0.04,6,0.27,0,9,3,0,0,0,0,0,0,0,0,None,0,0.00
22,d4v41,Paper Rex,358,243,227,153,192.81,1.07,0.59,0.43,192.81,0.68,0.63,13,9,31.56,0.04,0.03,24,1.52,6,65,47,16,2,0,4,3,1,0,0,None,8,2.23
23,Daveeys,KRU Esports,90,58,52,15,182.25,1.12,0.6,0.17,182.25,0.64,0.58,6,4,21.75,0.07,0.04,21,1.3,2,3,9,3,1,0,1,0,0,0,0,None,1,1.11
24,Demon1,Evil Geniuses,459,421,302,80,246.05,1.39,0.63,0.17,246.05,0.92,0.66,69,41,40.24,0.15,0.09,28,1.69,8,8,77,30,7,2,7,3,0,0,0,Champions,10,2.18
25,Dep,ZETA DIVISION,51,41,43,5,253.67,0.95,0.6,0.1,253.67,0.8,0.84,6,4,27.67,0.12,0.08,16,1.02,0,0,6,3,0,1,0,0,0,0,0,None,0,0.00
26,Derke,Fnatic,270,206,180,44,218.43,1.14,0.53,0.16,218.43,0.76,0.67,60,54,24.36,0.22,0.2,19,1.36,5,7,31,19,0,1,2,0,0,0,0,None,2,0.74
