Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Number of Fatalities,Bus Involvement,Heavy Rigid Truck Involvement, Articulated Truck Involvement,Speed Limit, National Remoteness Areas,SA4 Name 2021,National LGA NAme 2021,National Road Type,Christmas Period,Easter Period,Day of week, Time of Day
20231162,NSW,5,2023,Wednesday,18:45,Single,2,No,No,No,50,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,Local Road,No,No,Weekday,Night
20231043,NSW,5,2023,Wednesday,11:00,Single,1,No,Yes,No,110,Major Cities of Australia,Richmond - Tweed,Tweed,National or State Highway,No,No,Weekday,Day
20232114,VIC,5,2023,Tuesday,5:37,Single,1,No,No,No,70,Unknown,Unknown,Unknown,Arterial Road,No,No,Weekday,Night
20232005,VIC,5,2023,Wednesday,19:50,Single,1,No,No,No,60,Unknown,Unknown,Unknown,Arterial Road,No,No,Weekday,Night
20231074,NSW,5,2023,Thursday,0:42,Single,1,No,No,No,100,Major Cities of Australia,Sydney - Ryde,Ryde,National or State Highway,No,No,Weekday,Night
20232059,VIC,5,2023,Saturday,16:52,Single,1,No,No,No,100,Unknown,Unknown,Unknown,Sub-arterial Road,No,No,Weekend,Day
20231177,NSW,5,2023,Saturday,17:58,Multiple,1,No,No,No,80,Inner Regional Australia,Murray,Albury,National or State Highway,No,No,Weekend,Day
20231055,NSW,5,2023,Sunday,11:30,Single,1,No,No,No,80,Inner Regional Australia,Central West,Blayney,Sub-arterial Road,No,No,Weekend,Day
20235040,WA,5,2023,Saturday,9:18,Single,1,No,No,No,60,,,,,No,No,Weekend,Day
20235023,WA,5,2023,Sunday,7:37,Single,1,No,No,No,110,,,,,No,No,Weekend,Day
20233024,QLD,5,2023,Saturday,19:00,Multiple,1,No,No,No,100,Outer Regional Australia,Cairns,Cassowary Coast,National or State Highway,No,No,Weekend,Night
20231151,NSW,5,2023,Friday,16:45,Multiple,1,No,No,No,100,Remote Australia,Far West and Orana,Coonamble,Sub-arterial Road,No,No,Weekday,Day
20232157,VIC,5,2023,Friday,17:50,Multiple,1,No,No,No,80,Major Cities of Australia,Mornington Peninsula,Mornington Peninsula,Sub-arterial Road,No,No,Weekday,Day
20236009,TAS,5,2023,Saturday,23:27,Single,1,No,No,No,80,Inner Regional Australia,Hobart,Clarence,National or State Highway,No,No,Weekend,Night
20232144,VIC,5,2023,Sunday,23:35,Single,1,No,No,No,70,Unknown,Unknown,Unknown,National or State Highway,No,No,Weekend,Night
20232146,VIC,5,2023,Wednesday,10:26,Multiple,1,No,No,No,80,Unknown,Unknown,Unknown,National or State Highway,No,No,Weekday,Day
20231004,NSW,5,2023,Monday,10:05,Multiple,1,No,Yes,No,100,Inner Regional Australia,Riverina,Wagga Wagga,Arterial Road,No,No,Weekday,Day
20232160,VIC,5,2023,Thursday,16:57,Multiple,1,No,No,No,100,Unknown,Unknown,Unknown,Arterial Road,No,No,Weekday,Day
20232141,VIC,5,2023,Monday,12:15,Single,1,No,No,No,60,Major Cities of Australia,Melbourne - Outer East,Yarra Ranges,Arterial Road,No,No,Weekday,Day
